District,rural/urban,Male,Female,Total,Households,Area_in_Sq_Km,_Household_Density_,Population_Density,Gender_Index,County,Location,Location_1,Province,OBJECTID
LARI,Rural,60632,63263,123895,30779,439.16,70.090000,63401.063580,1.043393,CENTRAL,"LARI, CENTRAL Kenya
",,36.67684469,14
GITHUNGURI,Rural,63591,65052,128643,33301,166.58,199.910000,65433.744510,1.022975,CENTRAL,"GITHUNGURI, CENTRAL Kenya
",,36.79433274,15
THIKA EAST,Rural,36828,36775,73603,19226,398.18,48.280000,36867.490830,0.998561,CENTRAL,"THIKA EAST, CENTRAL Kenya
",,37.23100647,16
THIKA WEST,Rural,12299,12188,24487,7283,207.31,35.130000,12247.326610,0.990975,CENTRAL,"THIKA WEST, CENTRAL Kenya
",,37.04502993,17
RUIRU,Rural,0,0,0,0,0,,,,CENTRAL,"RUIRU, CENTRAL Kenya
",,36.99460397,18
GATANGA,Rural,54783,56375,111158,29664,307.15,96.580000,56553.359110,1.029060,CENTRAL,"GATANGA, CENTRAL Kenya
",,36.88791928,19
GATUNDU,Rural,100939,107845,208784,53749,476.47,112.810000,108056.847500,1.068418,CENTRAL,"GATUNDU, CENTRAL Kenya
",,36.85558237,20
MOMBASA,Rural,0,0,0,0,0,,,,COAST,"MOMBASA, COAST Kenya
",,39.6977,21
KILINDINI,Rural,0,0,0,0,0,,,,COAST,"KILINDINI, COAST Kenya
",,39.6365,22
KWALE,Rural,64649,67449,132098,24506,947.88,25.850000,67517.203780,1.043311,COAST,"KWALE, COAST Kenya
",,39.40753681,23
KINANGO,Rural,95472,106099,201571,32394,3973.04,8.150000,106123.030000,1.111310,COAST,"KINANGO, COAST Kenya
",,39.10335046,24
MSAMBWENI,Rural,96815,101771,198586,36059,3112.07,11.590000,101802.109500,1.051190,COAST,"MSAMBWENI, COAST Kenya
",,39.16173404,25
KILIFI,Rural,165217,182876,348093,55663,3839.68,14.500000,182919.028800,1.106884,COAST,"KILIFI, COAST Kenya
",,39.60114414,26
KALOLENI,Rural,102163,114222,216385,33158,871.56,38.040000,114339.218600,1.118037,COAST,"KALOLENI, COAST Kenya
",,39.54477529,27
MALINDI,Rural,126308,133467,259775,38704,7696.93,5.030000,133483.410200,1.056679,COAST,"MALINDI, COAST Kenya
",,39.74330931,28
TANA RIVER,Rural,54531,55719,110250,21389,22270.52,0.960000,55721.448570,1.021786,COAST,"TANA RIVER, COAST Kenya
",,39.34922935,29
TANA DELTA,Rural,47216,46544,93760,18146,15613.04,1.160000,46547.024140,0.985768,COAST,"TANA DELTA, COAST Kenya
",,39.51654731,30
LAMU,Rural,42813,38488,81301,17391,6258.46,2.780000,38494.840820,0.898979,COAST,"LAMU, COAST Kenya
",,40.74388079,31
TAITA,Rural,87996,84572,172568,41936,13547.51,3.100000,84578.495360,0.961089,COAST,"TAITA, COAST Kenya
",,38.56492447,32
TAVETA,Rural,24971,22829,47800,10816,3488.47,3.100000,22836.158150,0.914220,COAST,"TAVETA, COAST Kenya
",,37.97519351,33
MARSABIT,Rural,15780,15815,31595,6558,2045.73,3.210000,15822.713630,1.002218,EASTERN,"MARSABIT, EASTERN Kenya
",,37.94495682,34
CHALBI,Rural,41318,33878,75196,15586,39248.03,0.400000,33879.052740,0.819933,EASTERN,"CHALBI, EASTERN Kenya
",,37.36288736,35
LAISAMIS,Rural,29088,29971,59059,13248,20133.42,0.660000,29972.444760,1.030356,EASTERN,"LAISAMIS, EASTERN Kenya
",,37.48344825,36
MOYALE,Rural,32832,28475,61307,9752,9310.32,1.050000,28478.526410,0.867294,EASTERN,"MOYALE, EASTERN Kenya
",,38.80269655,37
ISIOLO,Rural,23997,22539,46536,9745,15477.82,0.630000,22540.550410,0.939242,EASTERN,"ISIOLO, EASTERN Kenya
",,38.46170147,38
GARBATULLA,Rural,18863,15521,34384,7076,9608.11,0.740000,15522.963240,0.822828,EASTERN,"GARBATULLA, EASTERN Kenya
",,38.65180184,39
MERU CENTRAL,Rural,70315,71453,141768,37209,790.15,47.090000,71541.989430,1.016184,EASTERN,"MERU CENTRAL, EASTERN Kenya
",,37.58330732,40
IMENTI NORTH,Rural,96455,94604,191059,51419,1515.94,33.920000,94667.627190,0.980810,EASTERN,"IMENTI NORTH, EASTERN Kenya
",,37.43552549,41
IMENTI SOUTH,Rural,83596,82722,166318,42793,657.31,65.100000,82849.178960,0.989545,EASTERN,"IMENTI SOUTH, EASTERN Kenya
",,37.60133849,42
MERU SOUTH,Rural,40911,43726,84637,21157,557.98,37.920000,43799.319830,1.068808,EASTERN,"MERU SOUTH, EASTERN Kenya
",,37.67297626,43
MAARA,Rural,37364,37767,75131,19509,408.58,47.750000,37858.448430,1.010786,EASTERN,"MAARA, EASTERN Kenya
",,37.62522793,44
IGEMBE,Rural,223950,228586,452536,91130,2805.76,32.480000,228665.817900,1.020701,EASTERN,"IGEMBE, EASTERN Kenya
",,38.05720532,45
TIGANIA,Rural,139371,150216,289587,61666,1122.88,54.920000,150340.119200,1.077814,EASTERN,"TIGANIA, EASTERN Kenya
",,37.77333779,46
THARAKA,Rural,58691,62872,121563,25227,1462.16,17.250000,62912.139930,1.071237,EASTERN,"THARAKA, EASTERN Kenya
",,38.01828449,47
EMBU,Rural,106708,110074,216782,56173,630.06,89.160000,110243.361600,1.031544,EASTERN,"EMBU, EASTERN Kenya
",,37.50475286,48
MBEERE,Rural,106932,109577,216509,50579,2090.86,24.190000,109628.142600,1.024735,EASTERN,"MBEERE, EASTERN Kenya
",,37.66541038,49
KITUI,Rural,155446,171802,327248,67254,7172.26,9.380000,171823.673200,1.105220,EASTERN,"KITUI, EASTERN Kenya
",,38.30094003,50
MUTOMO,Rural,85554,93098,178652,32427,12833.65,2.530000,93104.666380,1.088178,EASTERN,"MUTOMO, EASTERN Kenya
",,38.53912323,51
MWINGI,Rural,107186,120692,227878,45445,5217.1,8.710000,120712.545100,1.126005,EASTERN,"MWINGI, EASTERN Kenya
",,38.36852014,52
KYUSO,Rural,64719,74303,139022,26498,4820.1,5.500000,74316.426900,1.148086,EASTERN,"KYUSO, EASTERN Kenya
",,38.27042885,53
