Urban_centre,Total_population,Core_urban_population,Peri_urban_population,Sex_ratio,co-ordinates,OBJECTID
Kibwezi,5697,4804,893,94,"(-2.3900568469999999, 37.960673929999999)",54
Kikuyu,264714,200285,64429,96,"(-1.2332990639999999, 36.653877209999997)",55
Kilgoris,9994,9994,0,98,"(-1.0099622930000001, 34.876582499999998)",56
Kilifi,47957,43388,4569,94,"(-3.5954880560000002, 39.864051629999999)",57
Kimilili,94719,40928,53791,94,"(0.79948592500000004, 34.711513910000001)",58
Kiminini,11642,5523,6119,85,"(0.90853975600000003, 34.92532886)",59
Kinango,7682,4317,3365,93,"(-4.1045338190000002, 39.313578219999997)",60
Kipkelion,47902,3582,44320,98,"(-0.17626963900000001, 35.466227510000003)",61
Kiserian,17939,14086,3853,99,"(-1.4191118119999999, 36.680583290000001)",62
Kisii,81318,60222,21096,97,"(-0.66498788900000005, 34.782930759999999)",63
Kisumu,383444,254016,129428,97,"(-0.081128197999999999, 34.76987673)",64
Kitale,148261,98071,50190,101,"(0.98362132999999996, 34.953079520000003)",65
Kitengela,56984,56984,0,104,"(-1.4749447, 36.953716200000002)",66
Kitui,115183,19067,96116,94,"(-1.3667407, 38.009941499999996)",67
Kosele,6256,4446,1810,93,"(-0.42844209999999999, 34.6768468)",68
Kwale,21378,6037,15341,91,"(-4.1487008769999996, 39.455571740000003)",69
Lamu,18328,12767,5561,102,"(-2.2326278130000001, 40.891168899999997)",70
Limuru,79686,61306,18380,98,"(-1.1025638600000001, 36.62519348)",71
Litein,8839,5797,3042,95,"(-0.57020178600000004, 35.198158200000002)",72
Lodwar,47101,44153,2948,94,"(3.1353015339999999, 35.6169838)",73
Loitoktok,10694,8908,1786,101,"(-2.9267748999999998, 37.5004682)",74
Lokichogio,17022,17022,0,108,"(4.2088930879999999, 34.369634949999998)",75
Londiani,44843,5405,39438,99,"(-0.14696747299999999, 35.6003002)",76
Luanda,49156,7149,42007,92,"(0.045638918000000001, 34.583453140000003)",77
Lumakanda,10548,2478,8070,99,"(0.63659500000000002, 35.0108751)",78
Machakos,150467,40819,109648,97,"(-1.506809311, 37.258834540000002)",79
Madogo,15705,13147,2558,106,"(-0.46451472500000002, 39.571711440000001)",80
Magarini,6098,6098,0,94,"(-3.0391450999999998, 40.005977799999997)",81
Mai Mahiu,10783,10783,0,94,"(-0.98196229999999995, 36.577173199999997)",82
Mairo_Inya,10053,10053,0,94,"(0.0256849, 36.4104885)",83
