,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
3144,91 rue du faubourg saint-denis,0,0,0,0,0,nonexistent,paris,paris-saintdenis-91,station,"48.8740698, 2.3551424",75010,paris/saint-denis/91,operational,4,station,2018,4,8,8,24
3145,43 rue de monceau,1,1,0,1,0,operational,paris,paris-monceau-43,station,"48.8778333, 2.310832",75008,paris/monceau/43,operational,0,station,2018,4,4,17,41
3146,13 rue lã©on blum,6,6,0,0,0,nonexistent,bagneux,bagneux-leonblum-13,station,"48.7941792, 2.3017033",92220,bagneux/lã©on blum/13,operational,0,station,2018,4,9,5,1
3147,18 avenue du marã©chal juin,5,5,1,0,0,nonexistent,meudon-la-forãªt,meudon-marechaljuin-18,station,"48.788083, 2.216266",92360,meudon/marã©chal juin/18,operational,0,station,2018,4,9,10,14
3148,72 avenue paul doumer,4,4,0,0,0,operational,paris,paris-pauldoumer-72,station,"48.859756, 2.2786938",75016,paris/paul doumer/72,operational,1,station,2018,4,7,6,1
3149,7 rue vaudetard,6,6,0,0,0,nonexistent,issy-les-moulineaux,issylesmoulineaux-vaudetard-7,station,"48.8271, 2.27659",92130,issy-les-moulineaux/vaudetard/7,operational,0,station,2018,4,3,13,4
3150,22 rue auguste blanqui,2,2,0,0,0,nonexistent,drancy,drancy-augusteblanqui-22,station,"48.9207972, 2.4559699",93700,drancy/auguste blanqui/22,operational,4,station,2018,4,3,6,33
3151,1 place charles de gaulle,2,2,0,0,0,nonexistent,ville-d'avray,villedavray-charlesdegaulle-1,space,"48.826, 2.18935",92410,ville-d'avray/charles de gaulle/1,operational,1,full_station,2018,4,7,20,29
3152,15 rue marcel ethis,3,3,0,0,0,nonexistent,romainville,romainville-marcelethis-15,station,"48.87798, 2.44464",93230,romainville/marcel ethis/15,operational,0,station,2018,4,8,15,15
3153,137 rue de la pompe,1,1,0,0,0,operational,paris,paris-pompe-137,station,"48.867315, 2.280347",75016,paris/pompe/137,operational,1,station,2018,4,1,4,13
3154,3 avenue d'ivry,0,0,0,0,0,operational,paris,paris-ivry-3,station,"48.82175, 2.36868",75013,paris/ivry/3,operational,3,station,2018,4,8,18,34
3155,122 boulevard jean jaureìs,5,5,0,0,0,nonexistent,clichy-la-garenne,clichylagarenne-jeanjaures-122,station,"48.9057159, 2.301558",92210,clichy-la-garenne/jean jaureìs/122,operational,0,station,2018,4,9,6,37
3156,62 rue ramey,4,4,0,0,0,operational,paris,paris-ramey-62,station,"48.8916426, 2.3449781",75018,paris/ramey/62,operational,0,station,2018,4,9,21,11
3157,46 quai de la rapã©e,2,2,0,0,1,operational,paris,paris-rapee-46,station,"48.8419525, 2.3728276",75012,paris/rapã©e/46,operational,4,station,2018,4,1,9,37
3158,28 rue bara,0,0,0,0,0,nonexistent,issy-les-moulineaux,issylesmoulineaux-bara-28,station,"48.8326967, 2.2682505",92130,issy-les-moulineaux/bara/28,operational,5,station,2018,4,6,0,54
3159,204 rue dâestienne dâorves,3,3,0,0,0,nonexistent,verriã¨res-le-buisson,verriereslebuisson-destiennedorves-204,station,"48.7409291, 2.2523628",91370,verriã¨res-le-buisson/d'estienne d'orves/204,operational,4,station,2018,4,6,7,38
3160,4 rue claude-nicolas ledoux,6,6,0,0,0,nonexistent,crã©teil,creteil-claudenicolasledoux-4,station,"48.766, 2.470911",94000,crã©teil/claude-nicolas ledoux/4,operational,0,station,2018,4,8,20,42
3161,1 rue d'uzã¨s,0,0,0,0,1,operational,paris,paris-uzes-1,station,"48.8704209, 2.3454538",75002,paris/uzã¨s/1,operational,3,station,2018,4,8,20,55
3162,29 avenue des champs pierreux,4,4,0,0,0,nonexistent,nanterre,nanterre-champspierreux-29,space,"48.8886703, 2.213053",92000,nanterre/champs pierreux/29,operational,0,full_station,2018,4,9,7,16
3163,35 avenue du gã©nã©ral leclerc,0,0,0,0,0,nonexistent,bourg-la-reine,bourglareine-leclerc-35,station,"48.7847049, 2.3176864",92340,bourg-la-reine/leclerc/35,broken,0,station,2018,4,1,14,50
3164,105 rue de rennes,0,0,0,0,0,nonexistent,paris,paris-rennes-105,station,"48.8489613, 2.3287351",75006,paris/rennes/105,operational,4,station,2018,4,3,2,32
3165,4 rue de colombes,3,3,0,0,0,nonexistent,asniã¨res-sur-seine,asnieressurseine-colombes-4,station,"48.9120069, 2.2863503",92600,asniã¨res-sur-seine/colombes/4,operational,0,station,2018,4,4,18,15
